,Rank,Country,Download Speed (Mbps),Upload Speed (Mbps),# Download Tests,# Upload Tests,No. IPs
179,180,Turkmenistan,0.32,0.59,11,13,8
180,181,Namibia,0.3,0.38,431,313,166
181,182,Gambia,0.29,0.54,16,15,15
182,183,Ethiopia,0.27,0.55,1346,1605,967
183,184,Burundi,0.23,0.21,9,12,9
184,185,Tajikistan,0.23,0.82,44,71,45
185,186,Guinea,0.21,0.76,30,37,22
186,187,China,0.13,4.87,705,769,198
187,188,Ivory Coast,0.13,0.19,164,217,142
188,189,Federated States of Micronesia,0.07,0.62,9,9,8
189,190,Eritrea,0.05,0.17,1,3,2
190,191,South Sudan,0.04,0.39,1,5,1
191,192,Guinea-Bissau,0.01,1.53,1,1,1
